38,37,35,20,39,31,13,18,32,5
5,36,24,18,7,32,31,10,6,19
33,7,34,35,20,43,0,28,1,18
38,33,41,43,13,2,37,5,26,25
41,18,12,10,36,31,32,19,17,25
39,6,38,43,8,11,4,10,36,28
19,37,22,43,23,26,39,28,4,1
9,33,40,5,18,41,24,31,36,19
35,26,33,40,28,32,39,11,20,17
5,41,37,36,10,2,18,32,12,40
6,42,32,38,20,39,8,4,3,13
32,9,17,0,33,43,34,27,16,11
4,40,43,18,41,24,42,5,31,19
4,13,9,38,37,0,31,18,28,39
34,6,35,13,2,4,5,42,8,20
10,28,19,36,22,23,26,17,7,6
17,8,39,43,7,0,3,36,24,19
6,1,33,41,40,35,20,42,31,37
36,10,25,8,34,18,42,5,40,19
40,3,17,33,34,4,24,38,31,32
34,37,36,39,2,8,6,33,18,31
41,42,18,5,32,3,31,19,24,4
3,40,6,25,8,18,32,31,42,7
39,37,33,1,2,36,40,34,18,31
34,25,18,43,39,19,31,3,33,32
36,37,43,10,18,39,35,32,31,19
40,8,35,33,3,20,2,36,5,28
5,37,7,40,9,6,18,43,32,31
37,32,41,42,22,20,34,19,27,17
0,37,36,34,5,33,41,26,13,7
8,33,28,38,27,15,2,20,17,16
3,36,39,41,23,35,15,25,28,20
2,11,3,28,8,20,9,38,16,33
4,3,36,18,38,32,41,31,1,19
38,5,2,20,36,41,13,10,0,18
36,8,34,42,3,5,26,35,28,4
28,2,37,26,19,22,3,8,36,10
9,18,6,38,37,31,32,19,34,2
2,4,42,9,33,18,40,31,32,24
3,37,2,35,17,10,24,19,28,16
8,0,13,42,40,7,38,2,35,28
5,1,20,40,13,37,32,31,4,18
37,43,5,13,15,25,8,10,26,4
9,40,33,35,28,22,25,20,17,16
5,20,7,31,18,28,43,27,41,13
35,37,36,18,33,39,31,19,2,32
3,17,38,43,7,35,42,16,25,1
36,38,18,25,31,19,32,15,34,24
27,42,28,19,37,23,38,35,22,26
36,2,37,20,38,43,33,28,42,11
4,34,41,6,15,1,33,26,28,16
42,41,33,3,25,39,28,43,22,15
18,36,24,33,31,32,39,19,5,17
39,6,13,2,43,9,42,20,40,8
34,36,5,15,9,4,37,18,43,3
